title,angajator,domeniu,tip_job,nivel_job,orase,actualizat_la,remote_work
Software Tester,Huf Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
Product Development Data Analyst & Workflow Engineer,Huf Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
Software Project Manager – Smart Key,Huf Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
System Developer - Phone as a Key,Huf Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
"Development Engineer for Processes, Methods & Tools",Huf Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
Tehnician Asamblare Prototipuri,Huf Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
Mechanical Developer,Huf Romania,['Inginerie'],full-time ,1 - 5 ani experienta,['Timisoara'],09.04.2024,  On-site
ORBICO INTERNSHIP ,INTERBRANDS ORBICO,"['Fundatii - Voluntariat - ONG', 'Internship', 'Management Trainee']",full-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  Hybrid 
INTERNSHIP - Export Administration,JTI Romania ,"['Acquisitions - Logistics - Supplies', 'Import - Export', 'Internship']",full-time,Student/Graduate,['BUCHAREST'],09.04.2024,  Hybrid 
Full Stack Developer,bitExpert,['IT Software'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Full Stack Architect ,bitExpert,['IT Software'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
 Team Lead Procurement,Konem Invest,['Achizitii - Logistica - Aprovizionare'],full-time ,peste 5 ani experienta,['Brasov'],09.04.2024,  On-site
Customer Service Professional,Konem Invest,['Customer support - Client service'],full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
Accounts Payable Specialist ,Konem Invest,['Contabilitate Finante'],full-time ,0 - 1 an experienta,['Brasov'],09.04.2024,  On-site
Purchasing Specialist,Konem Invest,['Achizitii - Logistica - Aprovizionare'],full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
IT Service Desk Technician,Konem Invest,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
Game Presenter AM,Evolutionary Consulting ,"['Customer support - Client service', 'Hoteluri - Restaurante - Cafenele', 'Retail - Comert']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Property Manager/Asset Analyst,Teamland,"['Imobiliare - Real Estate', 'Retail - Comert', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Automation Engineer Manager,Konem Invest,"['Others', 'Engineering', 'Management - Consulting']",full-time,Manager,['Abroad'],09.04.2024,  On-site
Contabil junior,Lagardère Travel Retail Romania,['Contabilitate Finante'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Junior Analist Servicii Client,Regina Maria,"['Altele', 'Customer support - Client service', 'Secretariat - Administrativ']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Italian speakers | Bucuresti,SalesConsulting,"['Customer support - Client service', 'Internet - eCommerce', 'Vanzari']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Pricing Data Analyst,METRO Romania,"['Management - Consulting', 'Marketing', 'Retail - Trade']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Inside Sales Representative for UK & Ireland,Veeam Software,['Sales '],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Mecanic Intretinere - Bra?ov,Ursus Breweries,"['Altele', 'Inginerie', 'Productie']",full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
Fochist - Brasov,Ursus Breweries,"['Chimie - Petrochimie', 'Inginerie', 'Productie']",full-time ,0 - 1 an experienta,['Brasov'],09.04.2024,  On-site
Operator la fabricarea berii - Bra?ov,Ursus Breweries,"['Chimie - Petrochimie', 'Controlul calitatii', 'Productie']",full-time ,0 - 1 an experienta,['Brasov'],09.04.2024,  On-site
Tehnician Laborant Fizico-Chimice - Bra?ov,Ursus Breweries,"['Chimie - Petrochimie', 'Controlul calitatii', 'Productie']",temporar ,0 - 1 an experienta,['Brasov'],09.04.2024,  On-site
Personal de Serviciu Urziceni part-time 4h (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['Urziceni'],09.04.2024,  On-site
Personal de Serviciu Branesti part-time 4h (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Personal de Serviciu Pantelimon Cernica 4h (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Senior Accountant ,Snyk,['Accounting - Finance'],full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca']",09.04.2024,  Hybrid 
Implementation Consultant,Snyk,"['Customer Support - Client Service', 'IT Software']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Cluj Napoca']",09.04.2024,  Hybrid 
Tehnician chimist (București),Orkla Foods România,"['Chimie - Petrochimie', 'Controlul calitatii']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Marketplace Account Manager (Chinese Speaker),eMAG,"['Internet - eCommerce', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Sales Manager (Seller Growth Team),eMAG,"['Internet - eCommerce', 'Vanzari']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
#13094 - Foreign Language Agent - Hindi (remote/part time),QualiTest Romania,"['Quality Control', 'Customer Support - Client Service']",part-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  Remote 
Game presenter- part-time- București,Randstad România,"['Altele', 'Publicitate - Agentii publicitate', 'Radio-Televiziune']",part-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  On-site
GAME PRESENTER - Greek language  (MAM),Evolutionary Consulting ,"['Altele', 'Customer support - Client service', 'Internship']",full-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  On-site
INGINER PRODUCTIE - DEVA,Teamland,['Constructii'],full-time ,1 - 5 ani experienta,"['Deva', ' Hunedoara', ' Orastie']",09.04.2024,  On-site
Tehnician GSM,Trenkwalder Romania,"['Customer support - Client service', 'Telecomunicatii']",full-time ,0 - 1 an experienta,"['BUCURESTI', ' Ilfov']",09.04.2024,  On-site
Game Presenter - limba greacă - MP,Evolutionary Consulting ,"['Internet - eCommerce', 'Internship', 'Vanzari']",full-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  On-site
Trade Activation Executive (based in Oradea) ,Philip Morris Romania,['Vanzari'],full-time ,1 - 5 ani experienta,['Oradea'],09.04.2024,  On-site
Data & Information Security Manager Firm Wide,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
HR Support with German,BearingPoint,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Technology Analyst / (Senior) Consultant Data Analytics & Data Science,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Data Engineer,BearingPoint,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Manual QA Engineer (with German),BearingPoint,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Proposal Support Professional with French,BearingPoint,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Anaplan Senior Consultant,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior Test Manager (German),BearingPoint,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior Test Automation Engineer (with German),BearingPoint,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Order to Cash with German,BearingPoint,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Microsoft Consultant,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
IT Strategy & Sourcing Consultant (German),BearingPoint,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Accountant Specialist,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
HR Support with French,BearingPoint,"['Altele', 'Resurse Umane - Psihologie']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior SAP Integration Consultant,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior SAP SD/MM Consultant- English & French speaker,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Finance Business Partner- Bucuresti,Vodafone Romania,['Contabilitate Finante'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
"SAP Business Consultant (MM/SD, PP/QM, PM, EWM, MDM/MDG, BW/SAC, S4HANA)",BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
SAP FI/CO Business Advisor/Manager,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior SAP FI/CO Consultant,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior SAP FI-AA Consultant,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
"Senior SAP FI Consultant - focus on statutory accounting, taxation, transfer pricing",BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Lead Expert - Global HR Technology & SAP HCM,BearingPoint,['Altele'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior SAP ABAP OO Developer for BearingPoint Products,BearingPoint,"['Inginerie', 'IT Software']",full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior Full Stack Developer/ Architect for BearingPoint Products,BearingPoint,"['Inginerie', 'IT Software']",full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Product Manager,Raiffeisen Bank,['Banci'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
QA Automation Engineer for BearingPoint Products,BearingPoint,"['Inginerie', 'IT Software']",full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior DevOps Engineer for BearingPoint Products,BearingPoint,['Inginerie'],full-time ,peste 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Analist Financiar,Raiffeisen Bank,"['Banci', 'Contabilitate Finante']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
"Sef de tura - depozit de curierat - Mogosoaia, IF",Sameday Courier,['Achizitii - Logistica - Aprovizionare'],full-time ,0 - 1 an experienta,"['BUCURESTI', ' Ilfov']",09.04.2024,  On-site
"Coordonator echipa - Depozit curierat - A1, km 19",Sameday Courier,['Achizitii - Logistica - Aprovizionare'],full-time ,0 - 1 an experienta,"['BUCURESTI', ' Giurgiu', ' Ilfov']",09.04.2024,  On-site
"Coordonator echipa - depozit curierat - Chitila, IF",Sameday Courier,['Achizitii - Logistica - Aprovizionare'],full-time ,0 - 1 an experienta,"['BUCURESTI', ' Ilfov']",09.04.2024,  Hybrid 
INGINER AUTOMATIST,Konem Invest,"['Altele', 'Inginerie']",full-time ,1 - 5 ani experienta,['Strainatate'],09.04.2024,  On-site
Business Reporting & Projects Specialist,Philip Morris Romania,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Terapeut Beauty - Asistent medical,Life Dental Spa,['Farmacie - Medicina'],full-time ,1 - 5 ani experienta,"['Brasov', ' BUCURESTI', ' Craiova']",09.04.2024,  On-site
Junior Customs Operations Specialist,Siemens Energy,['Accounting - Finance'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  On-site
"Continuous Integration Software Engineer for Automotive Steering Systems, Engineering Center, Cluj",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
MOTOSTIVUITORIST  TIMISOARA,Ursus Breweries,"['Acquisitions - Logistics - Supplies', 'Construction', 'Production']",full-time,0 - 1 years of experience,['Timisoara'],09.04.2024,  On-site
Game Presenter with Greek (full time/part time) - DT,Evolutionary Consulting ,"['Customer Support - Client Service', 'Hotels - Restaurants - Cafes']",full-time,Student/Graduate,['BUCHAREST'],09.04.2024,  On-site
Personal de Serviciu Voluntari part-time 4 h (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Vanzator Brasov Str. Saturn (f/m),Lidl Romania,"['Altele', 'Vanzari']",full-time ,0 - 1 an experienta,['Brasov'],09.04.2024,  On-site
Vanzator Ploiesti Str. Targovistei (f/m),Lidl Romania,"['Altele', 'Vanzari']",full-time ,0 - 1 an experienta,['Ploiesti'],09.04.2024,  On-site
Lucrator Depozit Pregatire Marfa Nedelea (f/m),Lidl Romania,"['Achizitii - Logistica - Aprovizionare', 'Altele', 'Vanzari']",full-time ,0 - 1 an experienta,['Ploiesti'],09.04.2024,  On-site
Shuffler cu limba romana (fara experienta),Randstad România,"['Customer support - Client service', 'Hoteluri - Restaurante - Cafenele', 'Vanzari']",full-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  On-site
Android Developer,Raiffeisen Bank,['IT Software'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Service Manager Coach,Raiffeisen Bank,['IT Software'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
IT Application Support Specialist – Digital area,Raiffeisen Bank,['IT Software'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Golang Software Engineer,Raiffeisen Bank,['IT Software'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Senior DevOps Engineer | Engineering Coach,Raiffeisen Bank,['IT Software'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Inginer Electronist/ Tehnician Electronist,CS Vision,"['Inginerie', 'IT Hardware', 'Telecomunicatii']",full-time ,1 - 5 ani experienta,['Cluj Napoca'],09.04.2024,  On-site
Full Stack Developer | Engineering Coach,Raiffeisen Bank,['IT Software'],full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
 Team Lead Procurement,Konem Invest,['Achizitii - Logistica - Aprovizionare'],full-time ,peste 5 ani experienta,['Brasov'],09.04.2024,  On-site
 Purchasing Specialist,Konem Invest,['Achizitii - Logistica - Aprovizionare'],full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
  IT Service Desk Technician,Konem Invest,"['IT Hardware', 'IT Software']",full-time ,1 - 5 ani experienta,['Brasov'],09.04.2024,  On-site
Customer Service Professional,Konem Invest,['Customer Support - Client Service'],full-time,1 - 5 years of experience,['Brasov'],09.04.2024,  On-site
Accounts Payable Specialist ,Konem Invest,['Accounting - Finance'],full-time,1 - 5 years of experience,['Brasov'],09.04.2024,  On-site
Trainee with Italian (part-time),Michelin Romania,"['Accounting - Finance', 'Human Resources - Psychology', 'Administrative Assistance']",full-time,Student/Graduate,"['BUCHAREST', ' Ilfov', ' Ploiesti']",09.04.2024,  Hybrid 
 Inginer de Achiziții,Konem Invest,"['Achizitii - Logistica - Aprovizionare', 'Altele', 'Inginerie']",full-time ,1 - 5 ani experienta,['Strainatate'],09.04.2024,  On-site
Specialist in Tensiune Înaltă,Konem Invest,['Altele'],full-time ,1 - 5 ani experienta,['Strainatate'],09.04.2024,  On-site
Testing engineer,Schurter Electronic Components,"['Engineering', 'Production']",full-time,1 - 5 years of experience,"['BUCHAREST', ' Ilfov', ' Ploiesti']",09.04.2024,  On-site
Maistru Secție Rectificare,Antal Cluj,['Productie'],full-time ,1 - 5 ani experienta,['Sebes'],09.04.2024,  On-site
IT Business Analyst,Help Net Farma,['IT Software'],full-time ,1 - 5 ani experienta,"['Balotesti', ' BUCURESTI']",09.04.2024,  Hybrid 
Maistru Secție Strung,Antal Cluj,['Productie'],full-time ,1 - 5 ani experienta,['Sebes'],09.04.2024,  On-site
Farmacist Diriginte in Campulung,Farmacia Dona,"['Farmacie - Medicina', 'Vanzari']",full-time ,1 - 5 ani experienta,['Campulung Muscel'],09.04.2024,  On-site
Controlor Calitate,Electromontaj,"['Controlul calitatii', 'Inginerie']",full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  On-site
Data Entry & Junior Project Manager,Brainspotting,['Altele'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  Remote 
Inginer mecanic - Fiabilitate-Durabilitate,Akkodis Romania,"['Inginerie', 'Productie', 'Transporturi']",full-time ,1 - 5 ani experienta,['Titu'],09.04.2024,  On-site
 Inginer Senior de Soluții Logistice,Konem Invest,"['Achizitii - Logistica - Aprovizionare', 'Altele', 'Inginerie']",full-time ,1 - 5 ani experienta,['Strainatate'],09.04.2024,  On-site
Inginer de proiect - Divizia de aer portabil,Konem Invest,"['Altele', 'Inginerie']",full-time ,1 - 5 ani experienta,['Strainatate'],09.04.2024,  On-site
Șef de echipa în Electricitate și Climatizare (HVAC),Konem Invest,['Altele'],full-time ,1 - 5 ani experienta,['Strainatate'],09.04.2024,  On-site
Treasury Specialist,Tenneco,['Altele'],full-time ,1 - 5 ani experienta,['BUCURESTI'],09.04.2024,  Hybrid 
Asistent medical,Konem Invest,['Farmacie - Medicina'],full-time ,1 - 5 ani experienta,['Strainatate'],09.04.2024,  On-site
"Specialist Creditare PF si consiliere IMM - Agentia Feeria, Baneasa Mall (perioada determinata)",Raiffeisen Bank,"['Asigurari - Intermedieri financiare', 'Banci', 'Vanzari']",full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Manager de atelier - Proiect sudură,Konem Invest,"['Altele', 'Constructii']",full-time ,1 - 5 ani experienta,['Strainatate'],09.04.2024,  On-site
Communication  Media Manager,Nestle Romania,['Marketing'],full-time,Manager,['BUCHAREST'],09.04.2024,  Hybrid 
Analist Call Center - perioada determinata,Distrigaz Sud Retele,['Customer support - Client service'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Customer Support with English - Back Office ,TDCX,['Customer Support - Client Service'],full-time,0 - 1 years of experience,['BUCHAREST'],09.04.2024,  Hybrid 
Consilier Creditare PF - Agentia Ineu,Raiffeisen Bank,"['Asigurari - Intermedieri financiare', 'Banci', 'Vanzari']",full-time ,0 - 1 an experienta,['Ineu'],09.04.2024,  On-site
Spare Parts Manager,Siemens Energy,['Acquisitions - Logistics - Supplies'],full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Site Manager,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['Brazi'],09.04.2024,  On-site
Service EQS Head,Siemens Energy,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,peste 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Senior Lead DevOps Engineer,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Availability Manager,LSEG Romania,"['Internet - eCommerce', 'IT Hardware', 'IT Software']",full-time,1 - 5 years of experience,['BUCHAREST'],09.04.2024,  On-site
Tehnician electromecanic (Service Scule Electrice),Bosch Romania,['Productie'],full-time ,Student/Absolvent,['BUCURESTI'],09.04.2024,  On-site
"Working Student - Support for Process Activities, BljP",Bosch Romania,['Production'],part-time,Student/Graduate,['Blaj'],09.04.2024,  On-site
"Supplier Quality Engineer for Mechanical Components, CljP",Bosch Romania,['Engineering'],full-time,1 - 5 years of experience,['Cluj Napoca'],09.04.2024,  On-site
Vanzator Bucuresti Drumul Binelui (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['BUCURESTI'],09.04.2024,  On-site
Vanzator Constanta Navodari (f/m),Lidl Romania,['Vanzari'],full-time ,0 - 1 an experienta,['Constanta'],09.04.2024,  On-site
HR Recruitment Assistant with French,Michelin Romania,"['Customer Support - Client Service', 'Human Resources - Psychology', 'Administrative Assistance']",full-time,0 - 1 years of experience,"['BUCHAREST', ' Ilfov', ' Ploiesti']",09.04.2024,  Hybrid 
Payroll Accountant with German,FEV ECE Automotive,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  Remote 
General Ledger Accountant,FEV ECE Automotive,['Accounting - Finance'],full-time,1 - 5 years of experience,['Timisoara'],09.04.2024,  Remote 
SAP Finance Academy (German & French) ,BearingPoint,"['Banci', 'Contabilitate Finante']",full-time ,0 - 1 an experienta,"['BUCURESTI', ' Sibiu', ' Timisoara']",09.04.2024,  Hybrid 
SAP Technology Academy (German & French),BearingPoint,"['Inginerie', 'IT Hardware', 'IT Software']",full-time ,0 - 1 an experienta,"['BUCURESTI', ' Sibiu', ' Timisoara']",09.04.2024,  Hybrid 
